DBH,Height,log DBH,log Height
8.1,4.5,0.908485019,0.653212514
9.3,5,0.968482949,0.698970004
10.9,7,1.037426498,0.84509804
11,7.3,1.041392685,0.86332286
6.2,3.2,0.792391689,0.505149978
6.5,3.5,0.812913357,0.544068044
7.1,4,0.851258349,0.602059991
8.4,4.3,0.924279286,0.633468456
10.2,5.5,1.008600172,0.740362689
11.4,5.6,1.056904851,0.748188027
2.4,2.8,0.380211242,0.447158031
3.5,3.9,0.544068044,0.591064607
2.2,2.7,0.342422681,0.431363764
4.4,3.5,0.643452676,0.544068044
4.5,4,0.653212514,0.602059991
5.4,4.5,0.73239376,0.653212514
6.2,5,0.792391689,0.698970004
6.3,5.3,0.799340549,0.72427587
3,3.2,0.477121255,0.505149978
3.2,3.3,0.505149978,0.51851394
3.8,3.7,0.579783597,0.568201724
4,4,0.602059991,0.602059991
4.3,4,0.633468456,0.602059991
4.5,4.3,0.653212514,0.633468456
3.4,3.3,0.531478917,0.51851394
4,3.2,0.602059991,0.505149978
4.8,3.6,0.681241237,0.556302501
4.9,4,0.69019608,0.602059991
6.2,4.2,0.792391689,0.62324929
6.4,4.2,0.806179974,0.62324929
3.3,3,0.51851394,0.477121255
3.6,3,0.556302501,0.477121255
4,3.5,0.602059991,0.544068044
4.1,3.7,0.612783857,0.568201724
4.1,4.5,0.612783857,0.653212514
4.5,4.6,0.653212514,0.662757832
3.8,2.7,0.579783597,0.431363764
3,2.7,0.477121255,0.431363764
3.4,2.9,0.531478917,0.462397998
4.1,4,0.612783857,0.602059991
5.5,5,0.740362689,0.698970004
5.6,5.2,0.748188027,0.716003344
2.4,2.4,0.380211242,0.380211242
2.7,3.2,0.431363764,0.505149978
4.6,3.4,0.662757832,0.531478917
4.6,3.5,0.662757832,0.544068044
4.4,3.45,0.643452676,0.537819095
4.3,3.5,0.633468456,0.544068044
2,2.1,0.301029996,0.322219295
2.5,2.25,0.397940009,0.352182518
2.1,1.8,0.322219295,0.255272505
2.4,1.9,0.380211242,0.278753601
3.1,2.1,0.491361694,0.322219295
3.8,2.5,0.579783597,0.397940009
5.5,4,0.740362689,0.602059991
5.9,4.2,0.770852012,0.62324929
3.2,3,0.505149978,0.477121255
3.7,3,0.568201724,0.477121255
3.9,3.2,0.591064607,0.505149978
5.2,3.45,0.716003344,0.537819095
5.3,3.8,0.72427587,0.579783597
5.3,4,0.72427587,0.602059991
7.7,5.3,0.886490725,0.72427587
5.2,4.6,0.716003344,0.662757832
3.5,3.43,0.544068044,0.53529412
3.7,2.8,0.568201724,0.447158031
4,2.9,0.602059991,0.462397998
4.3,3.2,0.633468456,0.505149978
5,3.4,0.698970004,0.531478917
5.2,4,0.716003344,0.602059991
5.2,4.1,0.716003344,0.612783857
8.8,7.5,0.944482672,0.875061263
9.1,8,0.959041392,0.903089987
10.5,9.5,1.021189299,0.977723605
10.5,10,1.021189299,1
11.2,8,1.049218023,0.903089987
11.4,8.5,1.056904851,0.929418926
5.8,4.7,0.763427994,0.672097858
6.2,5.5,0.792391689,0.740362689
6.1,6,0.785329835,0.77815125
6.4,6.5,0.806179974,0.812913357
6.5,7,0.812913357,0.84509804
7,7.4,0.84509804,0.86923172
3.3,3,0.51851394,0.477121255
3.7,3,0.568201724,0.477121255
4.6,4.5,0.662757832,0.653212514
4.7,5,0.672097858,0.698970004
5.2,6,0.716003344,0.77815125
5.7,6.5,0.755874856,0.812913357
